Chart Title: ,CPU & Disk Write Bytes for RMQ 3-Node Cluster,,,,,
,,,,,,
Thu Jan 22 2026 16:14:00 GMT+0100 (Central European Standard Time),,,,,,
Thu Jan 22 2026 17:18:00 GMT+0100 (Central European Standard Time),,,,,,
Grain: Automatic,,,,,,
Aggregation type: Avg,,,,,,
Grouping: Microsoft.ResourceId,,,,,,
Filters: undefined: /subscriptions/b91c98ef-f492-4758-a174-28aaa87d290c/resourcegroups/rabbitmq-benchmark-rg/providers/microsoft.compute/virtualmachines/rabbit-cluster-node-01,,,,,,
Chart type: Line,,,,,,
,,,,,,
,/subscriptions/b91c98ef-f492-4758-a174-28aaa87d290c/resourceGroups/rabbitmq-benchmark-rg/providers/Microsoft.Compute/virtualMachines/rabbit-cluster-node-03,/subscriptions/b91c98ef-f492-4758-a174-28aaa87d290c/resourceGroups/rabbitmq-benchmark-rg/providers/Microsoft.Compute/virtualMachines/rabbit-cluster-node-01,/subscriptions/b91c98ef-f492-4758-a174-28aaa87d290c/resourceGroups/rabbitmq-benchmark-rg/providers/Microsoft.Compute/virtualMachines/rabbit-cluster-node-02,,,
1/22/26 16:14,"0,675","0,57","0,19","273,08",--,"273,05"
1/22/26 16:15,"0,3","0,925","0,54",0,"10021450,93","3435242,22"
1/22/26 16:16,"57,085","63,835","6,16",147194357,"154241269,2","140925065,2"
1/22/26 16:17,"65,72","64,13","63,255","156306832,5","154496473,8","142502602,5"
1/22/26 16:18,"65,375","63,98","63,29","155418433,5","156151060,7","143466103,1"
1/22/26 16:19,"65,215","64,05","63,12","153922656,4",--,"142096799,9"
1/22/26 16:20,"65,665","64,01","62,515",152829407,155238365,"143769122,6"
1/22/26 16:21,"65,755","63,61","62,6","155480619,9","156762135,3","143407560,1"
1/22/26 16:22,"65,595","63,895","63,375","154891893,1",156923274,"143000069,1"
1/22/26 16:23,"65,555","63,805","63,515","155813727,1",155190837,"142689976,4"
1/22/26 16:24,"65,23","63,02","63,095","152738056,1",--,"140900228,6"
1/22/26 16:25,"65,165","62,72","63,735","155048006,3","155260704,2","141071817,9"
1/22/26 16:26,"64,62","63,21","63,78","154848805,8","154570857,7","141417123,7"
1/22/26 16:27,"65,055","63,055","62,99","155329882,4","153891405,8","143597519,9"
1/22/26 16:28,"64,735","63,045","62,74","154068747,7","154231946,2","143755611,8"
1/22/26 16:29,"64,635","63,215","62,555","154807161,8",--,"141947656,7"
1/22/26 16:30,"64,915","63,47","62,565","153921981,3","154830770,8","143328215,2"
1/22/26 16:31,"65,13","63,91","62,685","154679844,6","155469979,4","143458858,9"
1/22/26 16:32,"65,16","63,575","62,83","155181984,8","156865962,2","145049624,7"
1/22/26 16:33,"64,91","63,56",63,"154469680,9","154314588,1","141472292,4"
1/22/26 16:34,"65,06","63,795","63,255",154615991,--,"142947413,4"
1/22/26 16:35,"65,43","63,445","63,35","154287665,2","155183822,2","141822913,8"
1/22/26 16:36,"65,055","63,735","62,825",154625002,"155900444,4","141468938,1"
1/22/26 16:37,"65,495","62,855","63,38","154100767,2","155307638,9","142075880,6"
1/22/26 16:38,"65,56","63,66","64,015","155506042,1","156073347,7",140142914
1/22/26 16:39,"65,58","63,56","63,33",153814602,--,"141299979,9"
1/22/26 16:40,"65,2","64,065","62,99","154317559,6","155724547,2","141291339,4"
1/22/26 16:41,"65,725","63,965","62,785","154134715,1","157203859,6","143443138,9"
1/22/26 16:42,"65,73","64,055","63,075","155947539,1","155228906,2","142638466,8"
1/22/26 16:43,"65,625","63,36","63,36","156810930,5","154595505,6","142490015,4"
1/22/26 16:44,"66,165","63,62","63,83","154198808,1",--,"142872967,7"
1/22/26 16:45,"65,105","63,905","62,925","154083355,4","155034048,5","140326179,4"
1/22/26 16:46,"65,435","64,38","62,95","155571263,7","156746924,4","140791391,1"
1/22/26 16:47,"65,435","64,385","63,255","154415462,8","155605299,7","141330488,6"
1/22/26 16:48,"65,975","63,775","62,99",156162135,"154385339,3","140207213,4"
1/22/26 16:49,"65,58","63,555","63,71","154836852,8",--,"142535650,6"
1/22/26 16:50,"65,41","63,695","62,88","153885374,6","155655730,5","140005032,9"
1/22/26 16:51,"65,74","64,035","62,67","153583523,9","158004393,2","141363482,1"
1/22/26 16:52,"65,65","63,08","63,66","154885540,3","154422039,4",140427469
1/22/26 16:53,"65,695","63,38","63,685","154999354,1","153966867,4","141493508,2"
1/22/26 16:54,"65,42","63,97","63,115","153445540,3",--,"141918687,5"
1/22/26 16:55,"65,79","63,935","62,665","156557664,8",155606502,"140487188,9"
1/22/26 16:56,"65,86","64,22","63,295","156339450,1","156807537,4","140322009,2"
1/22/26 16:57,"65,93","63,7","63,69","156765324,6","155066817,4","141515423,9"
1/22/26 16:58,"65,955","63,625","63,555","155403972,4","154647938,2","140272524,1"
1/22/26 16:59,"65,72","63,7","63,075","153097565,3",--,"141953653,8"
1/22/26 17:00,"65,295","64,09","62,76","155460922,3","155318678,1","140693004,9"
1/22/26 17:01,"65,695","64,35","63,08","155654902,9","152791260,6","142317219,7"
1/22/26 17:02,"66,065","63,675","63,005",156344280,"156577643,4","140500338,7"
1/22/26 17:03,"65,65","64,19","63,57","155062717,9",156749453,"139870185,5"
1/22/26 17:04,"65,81","63,64","63,715","155806103,1",--,"139341086,7"
1/22/26 17:05,"65,705","63,87","63,21","154659620,3","155413269,6","139075083,3"
1/22/26 17:06,"65,965","63,895","63,4","152549433,6","154978099,8","140450123,1"
1/22/26 17:07,"65,54","65,07","62,945",155273193,"154270975,6","139495333,4"
1/22/26 17:08,"66,21","63,94","63,055","156641756,3","157178893,3","140401248,4"
1/22/26 17:09,"65,835","64,05","63,57","155887663,3",--,"138920739,9"
1/22/26 17:10,"65,8","63,675","63,59","153935029,8","155315376,1","137486678,2"
1/22/26 17:11,"65,755","64,17","62,96","155280550,5","154571550,5","139561265,4"
1/22/26 17:12,"66,115","64,405","63,12",--,"155581768,9","139292629,9"
1/22/26 17:13,"65,55","63,755","63,42","154513922,9","157296088,3","140036831,4"
1/22/26 17:14,"65,92","63,765","62,91","154349917,4",--,"139105365,1"
1/22/26 17:15,"65,515","62,965","63,68","153782508,7","155524801,6","139948117,3"
1/22/26 17:16,"37,04","26,73","64,145","78759723,92","47010460,77","59428331,27"
1/22/26 17:17,"0,465","0,27","21,26",--,"273,08","750,9"
1/22/26 17:18,"0,415","0,28","0,325","273,05",--,--